Vf,TOUCHDOWN
1.328195,1
1.42477,1
1.460933,1
1.486318,1
1.5056,1
1.523029,1
1.537058,1
1.5507,1
1.563532,1
1.574896,1
1.585255,1
1.596117,1
1.605626,1
1.612664,1
1.617499,1
1.622953,1
1.62833,1
1.633745,1
1.639121,1
1.644845,1
1.650685,1
1.655946,1
1.661863,1
1.666776,1
1.672578,1
1.678147,1
1.684296,1
1.689866,1
1.695204,1
1.700735,1
1.706034,1
1.71199,1
1.717676,1
1.723091,1
1.728583,1
1.734191,1
1.739182,1
1.745369,1
1.750475,1
1.756006,1
1.761228,1
1.767416,1
1.772677,1
1.778362,1
1.783314,1
1.788768,1
1.794337,1
1.799559,1
1.804936,1
1.810544,1
1.815573,1
1.820988,1
1.826133,1
1.831509,1
1.837002,1
1.841837,1
1.847291,1
1.852513,1
1.857851,1
1.863305,1
1.868488,1
1.873865,1
1.878546,1
1.884038,1
1.88926,1
1.894675,1
1.899318,1
1.904501,1
1.909453,1
1.914945,1
1.919626,1
1.92566,1
1.930341,1
1.935061,1
1.940283,1
1.945118,1
1.950456,1
1.955562,1
1.960591,1
1.965234,1
1.970185,1
1.975716,1
1.980552,1
1.985388,1
1.990262,1
1.995291,1
1.999393,1
2.004306,1
2.010069,1
2.014248,1
2.019122,1
2.024151,1
2.029373,1
2.033629,1
2.038426,1
2.043455,1
2.048136,1
2.05274,1
2.057383,1
2.062528,1
2.066552,1
2.071195,1
2.075142,1
2.079901,1
2.084157,1
2.088722,1
2.093133,1
2.098703,1
2.102843,1
2.107717,1
2.112321,1
2.1165,1
2.121027,1
2.12509,1
2.130119,1
2.134762,1
2.138979,1
2.143429,1
2.147647,1
2.152444,1
2.15697,1
2.161458,1
2.165792,1
2.169585,1
2.173996,1
2.178406,1
2.182779,1
2.186455,1
2.19133,1
2.19547,1
2.199727,1
2.203983,1
2.20793,1
2.212418,1
2.21652,1
2.221626,1
2.226153,1
2.230139,1
2.234356,1
2.238458,1
2.242444,1
2.24616,1
2.250339,1
2.254247,1
2.257963,1
2.26164,1
2.265317,1
2.269573,1
2.273907,1
2.277197,1
2.280527,1
2.283624,1
2.286567,1
2.289974,1
2.293341,1
2.296825,1
2.302279,1
2.305956,1
2.309787,1
2.312383,1
2.316214,1
2.319698,1
2.322602,1
2.326047,1
2.329454,1
2.332976,1
2.336344,1
2.339519,1
2.342809,1
2.346332,1
2.349854,1
2.35299,1
2.356358,1
2.359533,1
2.362708,1
2.365419,1
2.368632,1
2.371923,1
2.374673,1
2.3775,1
2.380829,1
2.383347,1
2.386985,1
2.390083,1
2.393026,1
2.396123,1
2.399375,1
2.402203,1
2.405648,1
2.40805,1
2.410993,1
2.414206,1
2.41684,1
2.419629,1
2.422919,1
2.425399,1
2.428187,1
2.431169,1
2.433494,1
2.436514,1
2.439071,1
2.44155,1
2.4443,1
2.44647,1
2.449413,1
2.451854,1
2.454218,1
2.456697,1
2.459138,1
2.461386,1
2.463479,1
2.466074,1
2.467936,1
2.470338,1
2.472972,1
2.475297,1
2.477158,1
2.479329,1
2.481229,1
2.48309,1
2.484874,1
2.486543,1
2.488134,1
2.489609,1
2.490852,1
2.491941,1
2.493146,1
2.493771,1
2.49459,1
2.49537,1
2.495802,1
2.496079,1
2.496512,1
2.496673,1
2.497144,1
2.498658,1
2.500017,1
2.501068,1
2.501538,1
2.50282,1
2.503098,1
2.503839,1
2.504117,1
2.504781,1
2.505484,1
2.505877,1
2.506,1
2.506433,1
2.506208,1
2.506138,1
1.333989,2
1.417894,2
1.458383,2
1.485198,2
1.505137,2
1.521368,2
1.536671,2
1.550005,2
1.562141,2
1.575243,2
1.585603,2
1.595614,2
1.604545,2
1.612625,2
1.616997,2
1.622219,2
1.627441,2
1.633243,2
1.638542,2
1.644382,2
1.650183,2
1.655676,2
1.660782,2
1.666467,2
1.67196,2
1.6778,2
1.683369,2
1.688166,2
1.693775,2
1.700271,2
1.705609,2
1.711218,2
1.716401,2
1.7217,2
1.727424,2
1.732994,2
1.738525,2
1.743902,2
1.749626,2
1.754461,2
1.760108,2
1.766412,2
1.771132,2
1.776276,2
1.781692,2
1.787338,2
1.792908,2
1.797396,2
1.803236,2
1.808304,2
1.813873,2
1.819211,2
1.824742,2
1.82981,2
1.834761,2
1.840679,2
1.845282,2
1.850736,2
1.856383,2
1.861335,2
1.866209,2
1.871817,2
1.87673,2
1.881875,2
1.887445,2
1.892551,2
1.897039,2
1.902763,2
1.907406,2
1.913362,2
1.918004,2
1.922763,2
1.927714,2
1.933245,2
1.937772,2
1.943612,2
1.948061,2
1.953129,2
1.957926,2
1.963071,2
1.967906,2
1.972394,2
1.977694,2
1.982375,2
1.987172,2
1.992124,2
1.997307,2
2.002259,2
2.007017,2
2.012007,2
2.016148,2
2.020945,2
2.025742,2
2.030616,2
2.03522,2
2.039979,2
2.045355,2
2.049611,2
2.054138,2
2.059399,2
2.063771,2
2.067796,2
2.071897,2
2.076926,2
2.080758,2
2.085709,2
2.090236,2
2.094956,2
2.099212,2
2.103893,2
2.108729,2
2.112792,2
2.117396,2
2.122,2
2.126874,2
2.131247,2
2.135619,2
2.140339,2
2.144363,2
2.148774,2
2.152837,2
2.157673,2
2.16274,2
2.166804,2
2.170712,2
2.175007,2
2.179457,2
2.183327,2
2.187737,2
2.192032,2
2.196057,2
2.200506,2
2.204454,2
2.20871,2
2.212966,2
2.217145,2
2.221633,2
2.226006,2
2.230378,2
2.234402,2
2.238775,2
2.242529,2
2.246669,2
2.250771,2
2.254216,2
2.258086,2
2.261609,2
2.265247,2
2.269696,2
2.273412,2
2.277011,2
2.280302,2
2.283168,2
2.286536,2
2.289479,2
2.292885,2
2.296099,2
2.299621,2
2.304341,2
2.308211,2
2.311386,2
2.314792,2
2.317581,2
2.32091,2
2.324625,2
2.327761,2
2.331631,2
2.33469,2
2.338445,2
2.341194,2
2.344446,2
2.347969,2
2.351491,2
2.35428,2
2.357493,2
2.360706,2
2.36392,2
2.366708,2
2.369651,2
2.372517,2
2.375267,2
2.378364,2
2.381269,2
2.384405,2
2.387193,2
2.390522,2
2.393543,2
2.39664,2
2.399081,2
2.402372,2
2.405392,2
2.408219,2
2.411007,2
2.41395,2
2.416507,2
2.41945,2
2.422354,2
2.42495,2
2.427816,2
2.430295,2
2.433006,2
2.435602,2
2.438197,2
2.440754,2
2.443542,2
2.446099,2
2.448269,2
2.450633,2
2.452996,2
