TE_LABEL,WAFER_ID,TYPE,X_UM,Y_UM,COD_ROLL_EVAL,POT_FAILMODE,MAX_PD,MEAN_PD,MIN_DELTA,CURRENT_AT_ROLLOVER,CURRENT_AT_SPD,DV_DI_AT_COD
100C05,QCHWK,SILC,-45173,-33599,ROLLOVER,ROLLOVER,48.916077,29.022104208000002,26.425266208,215.0,,
100D05,QCHWK,SILC,-45943,-33599,ROLLOVER,ROLLOVER,48.617137,28.772985172000002,27.330845172,216.0,,
100E05,QCHWK,SILC,-46713,-33599,ROLLOVER,ROLLOVER,48.513657,28.682731500000003,27.041845500000004,215.0,,
100H6V,QCHWK,BL LASER,-49279,-21416,ROLLOVER,ROLLOVER,47.695678,26.7999271,24.331207100000004,207.0,,
100H6W,QCHWK,BL LASER,-49023,-21449,ROLLOVER,ROLLOVER,47.496932,26.979560644,24.320306644,208.0,,
100H6X,QCHWK,BL LASER,-48766,-21482,ROLLOVER,ROLLOVER,47.515,26.74548714,23.28467914,208.0,,
100I6V,QCHWK,BL LASER,-50049,-21416,ROLLOVER,ROLLOVER,47.357317,27.04350212,23.86356712,208.0,,
100I6W,QCHWK,BL LASER,-49793,-21449,ROLLOVER,ROLLOVER,47.454226,27.025518592,24.755543592000002,207.0,,
100I6X,QCHWK,BL LASER,-49536,-21482,ROLLOVER,ROLLOVER,47.275191,26.883426712000002,24.468909712000006,208.0,,
100J05,QCHWK,SILC,-50563,-33599,ROLLOVER,ROLLOVER,48.250853,28.800310312,26.582896312,213.0,,
100J6V,QCHWK,BL LASER,-50819,-21416,ROLLOVER,ROLLOVER,47.431231,27.0405707,24.9397767,208.0,,
100J6W,QCHWK,BL LASER,-50563,-21449,ROLLOVER,ROLLOVER,47.37867,27.117250536,24.426788536,207.0,,
100J6X,QCHWK,BL LASER,-50306,-21482,ROLLOVER,ROLLOVER,47.173354,26.752044128,21.665132128000003,208.0,,
100K05,QCHWK,SILC,-51333,-33599,ROLLOVER,ROLLOVER,47.919062,28.70390696,26.36001796,213.0,,
100K6V,QCHWK,BL LASER,-51589,-21416,ROLLOVER,ROLLOVER,47.07316,27.072567188,24.712253188,208.0,,
100K6W,QCHWK,BL LASER,-51333,-21449,ROLLOVER,ROLLOVER,46.797215,26.425975892,15.967994892000004,208.0,,
