Wafer Code,COD Percentage,ROLLOVER Count,COD Count,NO LASER Count
QCHWK,0.4658385093167702,1282,3,0
QCHWK,0.09395928655152315,,,
QCHWK,0.8377177320820172,,,
QCHWQ,10.822510822510822,824,100,0
QCHWQ,8.81936889885774,,,
QCHWQ,12.825652746163907,,,
QCHXD,0.2329192546583851,1285,3,0
QCHXD,-0.030346559296953995,,,
QCHXD,0.4961850686137242,,,
QCHXG,0.15527950310559005,1286,2,0
QCHXG,-0.05975975792365993,,,
QCHXG,0.37031876413484005,,,
QCHXL,0.3105590062111801,1284,4,0
QCHXL,0.006684137404680546,,,
QCHXL,0.6144338750176797,,,
QCHXM,1.2422360248447204,1270,3,2
QCHXM,0.6373329058674735,,,
QCHXM,1.8471391438219673,,,
QCHXV,0.5434782608695652,1281,6,0
QCHXV,0.141959482152802,,,
QCHXV,0.9449970395863285,,,
QCHXW,0.15527950310559005,1286,2,0
QCHXW,-0.05975975792365993,,,
QCHXW,0.37031876413484005,,,
QCHXX,3.9596273291925463,1237,3,0
QCHXX,2.894620936371252,,,
QCHXX,5.024633722013841,,,
QCHY1,0.4658385093167702,1276,3,6
QCHY1,0.09395928655152315,,,
QCHY1,0.8377177320820172,,,
QCHY2,0.15527950310559005,1286,2,0
QCHY2,-0.05975975792365993,,,
QCHY2,0.37031876413484005,,,
QCHY6,0.38819875776397517,1283,4,0
QCHY6,0.04858865033516738,,,
QCHY6,0.727808865192783,,,
QCHY7,0.38819875776397517,1283,2,0
QCHY7,0.04858865033516738,,,
QCHY7,0.727808865192783,,,
QCHY8,1.9409937888198756,1263,2,0
QCHY8,1.1875446229176558,,,
QCHY8,2.6944429547220956,,,
QCHYH,0.2329192546583851,1285,3,0
QCHYH,-0.030346559296953995,,,
QCHYH,0.4961850686137242,,,
QCHYK,0.2329192546583851,1285,1,0
QCHYK,-0.030346559296953995,,,
QCHYK,0.4961850686137242,,,
QCHYR,0.38819875776397517,1283,2,0
QCHYR,0.04858865033516738,,,
QCHYR,0.727808865192783,,,
QCHYS,0.2329192546583851,1285,3,0
QCHYS,-0.030346559296953995,,,
QCHYS,0.4961850686137242,,,
QCHYT,0.8540372670807453,1276,3,1
QCHYT,0.35149329505097676,,,
QCHYT,1.356581239110514,,,
QCHZ1,0.4658385093167702,1282,1,0
QCHZ1,0.09395928655152315,,,
QCHZ1,0.8377177320820172,,,
QCHZ5,9.394409937888199,1166,4,1
QCHZ5,7.80106285348639,,,
QCHZ5,10.987757022290007,,,
QCHZ6,0.2329192546583851,1285,2,0
QCHZ6,-0.030346559296953995,,,
QCHZ6,0.4961850686137242,,,
QCHZ8,0.6211180124223602,1280,6,0
QCHZ8,0.1920439569483003,,,
QCHZ8,1.0501920678964203,,,
QCHZH,0.15527950310559005,1286,2,0
QCHZH,-0.05975975792365993,,,
QCHZH,0.37031876413484005,,,
